#!conf:{query: "What element has the symbol {0}?"}
H,hydrogen
He,helium
Li,lithium
Be,beryllium
B,boron
C,carbon
N,nitrogen
O,oxygen
F,flourine
Ne,neon
Na,sodium
Mg,magnesium
Al,Aluminum
Si,Silicon
P,Phosphorus
S,sulfur
Cl,chlorine
Ar,Argon
K,Potassium
Ca,Calcium
Sc,Some Crap I can't spell
Ti,Titanium
V,Vanadium
Cr,Chromium
Mn,Maganese
Fe,Iron
Co,Cobalt
Ni,Nickel
Cu,Copper
Zn,Zinc
Ga,Gallium
Ge,Germanium
As,Arsenic
Se,Selenium
Br,Bromine
Kr,Krypton
Rb,Rubidium
Sr,Strontium
Ag,Silver
Sn,Tin
I,Iodine
Au,Gold
Hg,Mercury
Pb,Lead
U,Uranium
Pu,Plutonium
